index,p5,p4,majority5,majority4,agreement,bias5,bias4,bootstrap_stability5,bootstrap_stability4,confidence_interval5,confidence_interval4
81,0.669,0.913,1,1,True,0.16900000000000004,0.41300000000000003,1.0,1.0,"[0.63923606946991, 0.6974704861619725]","[0.8939135189433066, 0.928925578547625]"
82,0.258,0.237,0,0,True,0.242,0.263,1.0,1.0,"[0.23184403439388107, 0.2860081167131276]","[0.21168136426041648, 0.2643315107029855]"
83,0.476,0.423,0,0,True,0.02400000000000002,0.07700000000000001,0.947,1.0,"[0.4451969584283181, 0.5069867259789885]","[0.3927318137578076, 0.4538575070489678]"
84,0.538,0.537,1,1,True,0.038000000000000034,0.03700000000000003,0.989,0.9885,"[0.5070132970793998, 0.5686958692756982]","[0.5060124890263216, 0.5677043308457475]"
85,0.396,0.781,0,1,False,0.10399999999999998,0.281,1.0,1.0,"[0.36614144983616576, 0.4266545159288297]","[0.7543184071059555, 0.8055309546251624]"
86,0.304,0.528,0,1,False,0.196,0.028000000000000025,1.0,0.9615,"[0.27628526933638214, 0.33321481998995545]","[0.4970108021953935, 0.5587748993294154]"
87,0.516,0.299,1,0,False,0.016000000000000014,0.201,0.824,1.0,"[0.48502415202019794, 0.5468533917082643]","[0.27143763442230356, 0.3281007224888896]"
88,0.28,0.87,0,1,False,0.21999999999999997,0.37,1.0,1.0,"[0.25305370081259326, 0.30863007292105105]","[0.8477319733455312, 0.8894362253751581]"
89,0.522,0.547,1,1,True,0.02200000000000002,0.04700000000000004,0.914,0.998,"[0.4910152521271681, 0.5528163704994674]","[0.5160261711771321, 0.5776141135252257]"
90,0.388,0.416,0,0,True,0.11199999999999999,0.08400000000000002,1.0,1.0,"[0.3582811184771855, 0.41857607542357883]","[0.38582896762102037, 0.44681392780455287]"
91,0.377,0.447,0,0,True,0.123,0.05299999999999999,1.0,0.9995,"[0.347487093401629, 0.4074542891858176]","[0.4164460077014887, 0.4779596286979802]"
92,0.105,0.905,0,1,False,0.395,0.405,1.0,1.0,"[0.08748778261441682, 0.1255353565891717]","[0.8852455602057479, 0.9216547654209526]"
93,0.518,0.503,1,1,True,0.018000000000000016,0.0030000000000000027,0.873,0.5695,"[0.48702069136344844, 0.5488415453310715]","[0.4720586747142764, 0.5339183647348104]"
94,0.587,0.401,1,0,False,0.08699999999999997,0.09899999999999998,1.0,1.0,"[0.5562066759628382, 0.6171274680606752]","[0.37105844196706284, 0.43169925621307714]"
95,0.135,0.343,0,0,True,0.365,0.15699999999999997,1.0,1.0,"[0.11521137849166019, 0.15758215520279512]","[0.3142286235426158, 0.3729729786218485]"
96,0.477,0.684,0,1,False,0.02300000000000002,0.18400000000000005,0.928,1.0,"[0.44619023214492903, 0.5079857987454065]","[0.6545273749814833, 0.7120643778958327]"
97,0.625,0.387,1,0,False,0.125,0.11299999999999999,1.0,1.0,"[0.5945696046115923, 0.6544737057670189]","[0.35729917409070144, 0.417565673327034]"
